decile,stays,admission_window_q10_median,later_map_below65_fraction,later_map_below65_fraction_se,any_later_map_below65,any_later_map_below65_se,hospital_mortality,hospital_mortality_se,icu_mortality,icu_mortality_se,icu_los_ge3_days,icu_los_ge3_days_se,icu_los_days_median
1,1207,52.0,0.42390541560931705,0.009164378121719061,0.8533554266777134,0.010182263704532613,0.17149958574979288,0.010849863328544193,0.12427506213753108,0.009495595763995512,0.352112676056338,0.013747918104550606,2.162361111111111
2,1206,57.0,0.296619878517059,0.007786121040393578,0.7786069651741293,0.01195549232833957,0.11525704809286899,0.009195358126582601,0.07296849087893864,0.007489300838279862,0.35572139303482586,0.013785362594704812,2.1372164351851852
3,1206,61.0,0.22822997414139098,0.006702576142797436,0.7288557213930348,0.012801101825558601,0.12769485903814262,0.009610528448487126,0.07877280265339967,0.00775707285534891,0.38308457711442784,0.013998660913555613,2.2264930555555553
4,1206,64.0,0.1658858884207866,0.005923254687197203,0.6202321724709784,0.01397534623567715,0.09038142620232173,0.008256492696160675,0.05887230514096186,0.006778071463169076,0.3200663349917081,0.013433204207763158,2.057800925925926
5,1206,66.0,0.12352953770575378,0.004973449554471152,0.5373134328358209,0.014357659206346195,0.0845771144278607,0.00801241916121608,0.05804311774461028,0.006733133477348717,0.31840796019900497,0.013414687474329218,1.964496527777778
6,1206,69.0,0.09166687508227675,0.0041783942051013484,0.45439469320066334,0.01433779162388218,0.09369817578772803,0.008391282476088849,0.05721393034825871,0.006687808300877773,0.3101160862354892,0.013319149772336702,1.9533043981481482
7,1206,72.0,0.05912538287828335,0.00328666035456275,0.3225538971807628,0.013460613898676428,0.0779436152570481,0.007719609976577321,0.04809286898839138,0.00616118116521723,0.30016583747927034,0.013197891292495285,1.8648553240740742
8,1206,75.0,0.038762418074972826,0.0025632231865352273,0.23217247097844113,0.012158039423991369,0.07960199004975124,0.0077942825299984,0.04892205638474295,0.006211360745305135,0.3101160862354892,0.013319149772336702,1.8841724537037035
9,1206,81.0,0.021276717817456735,0.001967811014593341,0.14096185737976782,0.010020361200752385,0.06218905472636816,0.006954100654954929,0.03731343283582089,0.005457596267566658,0.30265339966832505,0.013228891924127304,1.9220081018518518
10,1207,91.0,0.010362045509543066,0.0013192300937766392,0.07373653686826843,0.007522375349727615,0.07042253521126761,0.007364529161083227,0.03893951946975974,0.005568228110091951,0.3272576636288318,0.013505655178861127,1.947488425925926
