admission_window_low_fraction_bin,admission_window_q10_bin,stays,admission_window_q10_median,admission_window_low_fraction_mean,later_map_below65_fraction,any_later_map_below65,hospital_mortality
0,<55,0,,,,,
0,55-60,0,,,,,
0,60-65,87,65.0,0.0,0.11141720667582736,0.5977011494252874,0.09195402298850575
0,65-70,1271,68.0,0.0,0.09808933730211528,0.45790715971675844,0.07789142407553108
0,70-75,1452,73.0,0.0,0.0480173880939909,0.2761707988980716,0.08953168044077135
0,75-80,1060,78.0,0.0,0.030861831875965192,0.18679245283018867,0.057547169811320756
0,>=80,1813,87.0,0.0,0.011880892438477264,0.08714837286265857,0.0694980694980695
0-0.10,<55,9,54.0,0.1,0.03968253968253968,0.2222222222222222,0.0
0-0.10,55-60,28,59.0,0.1,0.16194638694638694,0.5714285714285714,0.07142857142857142
0-0.10,60-65,454,65.0,0.07917875450799348,0.12933711665445768,0.5374449339207048,0.0881057268722467
0-0.10,65-70,937,67.0,0.07185513726577532,0.1147744316883115,0.5229455709711847,0.10245464247598719
0-0.10,70-75,258,72.0,0.07281090003572434,0.05723338048349448,0.3449612403100775,0.050387596899224806
0-0.10,75-80,71,78.0,0.07493328712467072,0.045379972140535525,0.2535211267605634,0.15492957746478872
0-0.10,>=80,48,84.0,0.07287600762021855,0.02596847590573852,0.1875,0.041666666666666664
0.10-0.25,<55,163,53.0,0.19093676851670813,0.20884070984295325,0.6319018404907976,0.17791411042944785
0.10-0.25,55-60,519,59.0,0.192846649342921,0.1935285588039267,0.653179190751445,0.11560693641618497
0.10-0.25,60-65,1314,63.0,0.16981885202443225,0.17666246038652914,0.6407914764079148,0.10578386605783865
0.10-0.25,65-70,0,,,,,
0.10-0.25,70-75,0,,,,,
0.10-0.25,75-80,0,,,,,
0.10-0.25,>=80,0,,,,,
0.25-0.50,<55,493,53.0,0.3969283972933753,0.312584541579829,0.8336713995943205,0.16227180527383367
0.25-0.50,55-60,788,58.0,0.37246750490720015,0.2799492883931762,0.8071065989847716,0.09517766497461928
0.25-0.50,60-65,322,62.0,0.33663827838374794,0.23420625203903703,0.7546583850931677,0.13043478260869565
0.25-0.50,65-70,0,,,,,
0.25-0.50,70-75,0,,,,,
0.25-0.50,75-80,0,,,,,
0.25-0.50,>=80,0,,,,,
>0.50,<55,708,51.0,0.7336146558991339,0.5367640277847815,0.9194915254237288,0.17231638418079095
>0.50,55-60,248,57.0,0.6521393361986791,0.43641212397861495,0.8830645161290323,0.14112903225806453
>0.50,60-65,19,61.0,0.5936980782375519,0.3528477954793744,0.8947368421052632,0.21052631578947367
>0.50,65-70,0,,,,,
>0.50,70-75,0,,,,,
>0.50,75-80,0,,,,,
>0.50,>=80,0,,,,,
