structure,lambda_intercept,lambda_slope,tuning_loss,tuning_loss_se,n_stays,median_abs_intercept,median_abs_slope,global_solver_stays,global_solver_all_certified,max_duality_gap,max_relative_duality_gap,max_projected_kkt_violation,max_stationarity_violation,mean_lbfgsb_iterations,max_lbfgsb_iterations,fraction_requiring_slsqp_fallback,max_slsqp_iterations,fraction_requiring_primal_qp_fallback,max_primal_qp_iterations,fraction_requiring_coordinate_polish,max_coordinate_polish_cycles
intercept,0.03,0.0,1.950561401031724,0.012086521263285436,12062,5.849056603773565,0.0,0,True,,,,,,,,,,,,
intercept,0.1,0.0,1.9804647494213332,0.011042770994230981,12062,4.047169811320757,0.0,0,True,,,,,,,,,,,,
intercept,0.3,0.0,2.0698217252366384,0.011511895566211605,12062,2.0,0.0,0,True,,,,,,,,,,,,
intercept,1.0,0.0,2.1463758275134945,0.012193513316789945,12062,0.6000000000000001,0.0,0,True,,,,,,,,,,,,
intercept,3.0,0.0,2.1905883146740917,0.012676636179372024,12062,0.20000000000000004,0.0,0,True,,,,,,,,,,,,
intercept,10.0,0.0,2.2128414331149,0.012964717538624637,12062,0.06000000000000001,0.0,0,True,,,,,,,,,,,,
intercept,30.0,0.0,2.220192867946974,0.013065689321439576,12062,0.020000000000000004,0.0,0,True,,,,,,,,,,,,
intercept,100.0,0.0,2.222862521468525,0.01310303133255794,12062,0.006000000000000001,0.0,0,True,,,,,,,,,,,,
slope,0.0,0.03,2.6317138944070413,0.017354253074829688,12062,0.0,7.394470909181383,0,True,,,,,,,,,,,,
slope,0.0,0.1,2.3944915289435085,0.015306012886086962,12062,0.0,2.9792361111019345,0,True,,,,,,,,,,,,
slope,0.0,0.3,2.2935346985224374,0.014112234771206562,12062,0.0,1.0504185956714684,0,True,,,,,,,,,,,,
slope,0.0,1.0,2.246743857436365,0.013443675077838998,12062,0.0,0.3198281250129138,0,True,,,,,,,,,,,,
slope,0.0,3.0,2.231663725323578,0.013224055053080224,12062,0.0,0.10699074074405673,0,True,,,,,,,,,,,,
slope,0.0,10.0,2.226330713066715,0.013150664869294556,12062,0.0,0.0321319444613025,0,True,,,,,,,,,,,,
slope,0.0,30.0,2.2247933116060246,0.013129845922910208,12062,0.0,0.010717592589106265,0,True,,,,,,,,,,,,
slope,0.0,100.0,2.224255804661192,0.013122597203196796,12062,0.0,0.003215277786311376,0,True,,,,,,,,,,,,
intercept_slope,0.03,0.03,1.9526426228140237,0.011012824943796781,12062,5.146916013913537,3.9118263014688237,12062,True,5.056496661381971e-07,9.362702699704101e-09,4.846624719334613e-07,2.220446049250313e-16,12.17459791079423,56,0.016166473221687946,16,0.002735864699054883,8,0.000165809981760902,1
intercept_slope,0.03,0.1,1.9066694568611373,0.011290751476993805,12062,5.5126244780205855,1.5230213193607711,12062,True,1.9658818217749285e-07,8.976674818662878e-09,4.0266336753802534e-07,2.220446049250313e-16,10.658431437572542,60,0.014508373404078926,16,0.001409384844967667,5,0.000248714972641353,1
intercept_slope,0.03,0.3,1.9291111746131233,0.01174148670082586,12062,5.716639502593993,0.5408024025333085,12062,True,1.881093538713685e-07,9.712815830780843e-09,3.789097249295992e-07,2.220446049250313e-16,10.244984248051733,62,0.01832200298457967,18,0.001243574863206765,16,0.000331619963521804,1
intercept_slope,0.03,1.0,1.9437107586824072,0.011976181257539862,12062,5.815607450464706,0.16467619445846965,12062,True,1.604262251930777e-07,8.351670415113561e-09,1.4558774030781763e-07,2.220446049250313e-16,10.15834853258166,50,0.02072624772011275,26,0.0019068147902503731,14,0.000331619963521804,1
intercept_slope,0.03,3.0,1.9482712644375577,0.012049291611591883,12062,5.844882723821995,0.055180648896950485,12062,True,1.5668537045598896e-07,1.2441289121594455e-08,4.1435166231451603e-07,4.440892098500626e-16,10.091775824904659,53,0.02321339744652628,27,0.002984579671696236,10,0.000497429945282706,1
intercept_slope,0.03,10.0,1.9498733111510318,0.012075240125367391,12062,5.8475998064847765,0.016577266535473995,12062,True,4.7572898154157883e-07,2.0254099859017132e-08,4.5941466009224996e-07,2.220446049250313e-16,10.031918421488975,62,0.024539877300613498,25,0.002818769689935334,15,0.000497429945282706,1
intercept_slope,0.03,30.0,1.95033191534007,0.012082751033180768,12062,5.848798101425414,0.0055289064612515275,12062,True,3.3703243218496937e-07,1.0019082912139188e-08,4.604836556509895e-07,2.220446049250313e-16,9.980434422152214,60,0.02545183220029846,28,0.005223014425468413,18,0.00082904990880451,1
intercept_slope,0.03,100.0,1.9504925298775682,0.01208538929471366,12062,5.848979049663954,0.0016591254906219387,12062,True,3.072217396038468e-07,2.207554840920051e-08,3.9670737628227926e-07,2.220446049250313e-16,9.959376554468578,57,0.026778312054385675,31,0.004476869507544354,18,0.000580334936163157,1
