group_id,scenario_key,scenario_label,rep,intercept,slope,tuning_loss,raw_identity_tuning_loss,success,solver,solver_status,solver_message,max_equality_residual,n_tuning_stays,n_tuning_later_observations
0,ideal_large_dense,"Ideal: large, dense",1,8.710770468272504,0.877058597336924,1.0355649194632173,1.0468515234619278,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1428
1,ideal_large_dense,"Ideal: large, dense",2,9.8757003913852,0.847237428175889,1.0461204528210282,1.0686073648716443,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1434
2,ideal_large_dense,"Ideal: large, dense",3,7.543845605887498,0.8828477463696758,1.0346041449950694,1.062866795488548,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1420
3,ideal_large_dense,"Ideal: large, dense",4,11.113842586743942,0.8329256234638936,1.0614155790179942,1.090185586871989,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1416
4,ideal_large_dense,"Ideal: large, dense",5,2.504460804669037,0.95207126470566,1.078502345466151,1.089904855982123,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1427
5,ideal_large_dense,"Ideal: large, dense",6,8.873500901485656,0.8608871189982648,1.0804294603694475,1.123253606443342,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1481
6,ideal_large_dense,"Ideal: large, dense",7,12.03547888236924,0.8217959306117127,1.0667610148071118,1.1177197337756786,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1422
7,ideal_large_dense,"Ideal: large, dense",8,3.235122121279943,0.9451830677788012,1.062437889952025,1.0731120922580468,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1456
8,ideal_large_dense,"Ideal: large, dense",9,6.735396054714371,0.8953904988161426,1.08037309531708,1.098312139880938,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1471
9,ideal_large_dense,"Ideal: large, dense",10,18.111918461594183,0.7318673238916723,1.0470540053584805,1.1002284586475193,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1472
10,ideal_large_dense,"Ideal: large, dense",11,12.278330759285588,0.8215186520090877,1.0457852013452624,1.0754609664539423,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1446
11,ideal_large_dense,"Ideal: large, dense",12,14.300614975048616,0.8019616852056017,0.9845500061569752,1.016427969861993,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1468
12,ideal_large_dense,"Ideal: large, dense",13,4.663462231063957,0.9229060944627344,0.9957827593206012,1.0124869204655915,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1505
13,ideal_large_dense,"Ideal: large, dense",14,12.747963085331245,0.8069573152952234,1.0422954235725617,1.0793192398962062,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1437
14,ideal_large_dense,"Ideal: large, dense",15,11.571712519634794,0.8306612508818179,1.02373997350137,1.0472134297348468,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1431
15,ideal_large_dense,"Ideal: large, dense",16,17.289974142154062,0.7504207386894431,1.0700508808645617,1.122421370755838,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.8421709430404014e-14,120,1373
16,ideal_large_dense,"Ideal: large, dense",17,12.45579352706454,0.8171724156770832,1.0748161179894236,1.1060977354247086,True,scipy.optimize.linprog(method='highs'),0,Optimization terminated successfully. (HiGHS Status 7: Optimal),1.4210854715202004e-14,120,1460
