scenario_key,scenario_label,method_a,method_b,estimand,n_effective_replicates,loss_difference_mean,loss_difference_mcse,loss_difference_mc_ci_lower,loss_difference_mc_ci_upper
ideal_large_dense,"Ideal: large, dense",tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3059583424074032,0.004505847673873324,-0.31478980384819494,-0.2971268809666115
ideal_large_dense,"Ideal: large, dense",affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.30939053295987834,0.00443238478760366,-0.31807800714358153,-0.30070305877617515
ideal_large_dense,"Ideal: large, dense",tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.0034321905524750873,0.0011000662214941516,0.0012760607583465504,0.005588320346603624
ideal_large_dense,"Ideal: large, dense",tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.0896014877143523,0.0022641772762138574,0.08516370025297314,0.09403927517573145
ideal_large_dense,"Ideal: large, dense",raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.024246989882764886,0.0010770847028346783,0.022135903865208917,0.026358075900320854
ideal_small_dense,"Ideal: small, dense",tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3094933790438818,0.007492406033203777,-0.3241784948689612,-0.2948082632188024
ideal_small_dense,"Ideal: small, dense",affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.31378507491114577,0.007277466067835853,-0.32804890840410406,-0.2995212414181875
ideal_small_dense,"Ideal: small, dense",tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.004291695867263901,0.0019562570197667376,0.00045743210852109556,0.008125959626006707
ideal_small_dense,"Ideal: small, dense",tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.08459576678181388,0.0037804753287064936,0.07718603513754915,0.09200549842607861
ideal_small_dense,"Ideal: small, dense",raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.019408239424521547,0.00191116624757833,0.01566235357926802,0.023154125269775075
ideal_large_sparse,"Ideal: large, sparse",tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.16763499689618563,0.004497127751350032,-0.1764493672888317,-0.15882062650353956
ideal_large_sparse,"Ideal: large, sparse",affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.22612700760943963,0.004506103907320546,-0.2349589712677879,-0.21729504395109137
ideal_large_sparse,"Ideal: large, sparse",tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.05849201071325401,0.0026010493042511987,0.05339395407692166,0.06359006734958636
ideal_large_sparse,"Ideal: large, sparse",tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.0553988367077164,0.0030453482872762998,0.04942995406465485,0.06136771935077795
ideal_large_sparse,"Ideal: large, sparse",raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.3304803115589883,0.006211720919494706,0.3183053385567787,0.3426552845611979
serial_dependence,Serial dependence,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.23454809769062057,0.00460949851960209,-0.24358271478904067,-0.22551348059220047
serial_dependence,Serial dependence,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.2667156279403763,0.004469249015514117,-0.27547535601078393,-0.25795589986996864
serial_dependence,Serial dependence,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.032167530249755674,0.002163293348756717,0.027927475286192507,0.03640758521331884
serial_dependence,Serial dependence,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.04151241068991712,0.0026013919772520334,0.036413682414503136,0.04661113896533111
serial_dependence,Serial dependence,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.09750343572758935,0.003485911124418648,0.0906710499237288,0.1043358215314499
discrete_map_rounding,Integer MAP rounding,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.2717687357037525,0.0049725628038406215,-0.2815149587992801,-0.26202251260822484
discrete_map_rounding,Integer MAP rounding,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.2876326966118059,0.0046869316293207675,-0.2968190826052746,-0.2784463106183372
discrete_map_rounding,Integer MAP rounding,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.015863960908053434,0.001661802664430257,0.012606827685770131,0.01912109413033674
discrete_map_rounding,Integer MAP rounding,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.07247079269879743,0.0030487689759608246,0.06649520550591421,0.07844637989168064
discrete_map_rounding,Integer MAP rounding,raw_index_q10,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.043594077605207344,0.0017957502597596533,0.04007440709607842,0.04711374811433627
informative_monitoring,Informative monitoring,tuned_level,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3216616718143817,0.004235981134475697,-0.3299641948379541,-0.31335914879080934
informative_monitoring,Informative monitoring,affine_calibrated_q10,population,mean paired stay-level assessment check-loss difference (A - B),200,-0.3915767003455794,0.005130768465468362,-0.4016330065378974,-0.3815203941532614
informative_monitoring,Informative monitoring,tuned_level,affine_calibrated_q10,mean paired stay-level assessment check-loss difference (A - B),200,0.06991502853119769,0.0033443816963103887,0.06336004040642933,0.07647001665596605
informative_monitoring,Informative monitoring,tuned_level_slope,tuned_level,mean paired stay-level assessment check-loss difference (A - B),200,0.20008909793336474,0.0033691029295503812,0.193485656191446,0.20669253967528348
