group_id,scenario_key,scenario_label,rep,method,selected_penalty
0,ideal_large_dense,"Ideal: large, dense",1,tuned_level,0.03
0,ideal_large_dense,"Ideal: large, dense",1,tuned_level_slope,0.1
1,ideal_large_dense,"Ideal: large, dense",2,tuned_level,0.03
1,ideal_large_dense,"Ideal: large, dense",2,tuned_level_slope,0.1
2,ideal_large_dense,"Ideal: large, dense",3,tuned_level,0.03
2,ideal_large_dense,"Ideal: large, dense",3,tuned_level_slope,0.1
3,ideal_large_dense,"Ideal: large, dense",4,tuned_level,0.03
3,ideal_large_dense,"Ideal: large, dense",4,tuned_level_slope,0.1
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level,0.0
4,ideal_large_dense,"Ideal: large, dense",5,tuned_level_slope,0.1
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level,0.03
5,ideal_large_dense,"Ideal: large, dense",6,tuned_level_slope,0.1
6,ideal_large_dense,"Ideal: large, dense",7,tuned_level,0.03
6,ideal_large_dense,"Ideal: large, dense",7,tuned_level_slope,0.1
7,ideal_large_dense,"Ideal: large, dense",8,tuned_level,0.0
7,ideal_large_dense,"Ideal: large, dense",8,tuned_level_slope,0.1
8,ideal_large_dense,"Ideal: large, dense",9,tuned_level,0.1
8,ideal_large_dense,"Ideal: large, dense",9,tuned_level_slope,0.1
9,ideal_large_dense,"Ideal: large, dense",10,tuned_level,0.03
9,ideal_large_dense,"Ideal: large, dense",10,tuned_level_slope,0.1
10,ideal_large_dense,"Ideal: large, dense",11,tuned_level,0.03
10,ideal_large_dense,"Ideal: large, dense",11,tuned_level_slope,0.1
11,ideal_large_dense,"Ideal: large, dense",12,tuned_level,0.03
11,ideal_large_dense,"Ideal: large, dense",12,tuned_level_slope,0.1
12,ideal_large_dense,"Ideal: large, dense",13,tuned_level,0.03
12,ideal_large_dense,"Ideal: large, dense",13,tuned_level_slope,0.1
13,ideal_large_dense,"Ideal: large, dense",14,tuned_level,0.03
13,ideal_large_dense,"Ideal: large, dense",14,tuned_level_slope,0.1
14,ideal_large_dense,"Ideal: large, dense",15,tuned_level,0.0
14,ideal_large_dense,"Ideal: large, dense",15,tuned_level_slope,0.1
15,ideal_large_dense,"Ideal: large, dense",16,tuned_level,0.03
15,ideal_large_dense,"Ideal: large, dense",16,tuned_level_slope,0.1
16,ideal_large_dense,"Ideal: large, dense",17,tuned_level,0.03
16,ideal_large_dense,"Ideal: large, dense",17,tuned_level_slope,0.1
17,ideal_large_dense,"Ideal: large, dense",18,tuned_level,0.03
17,ideal_large_dense,"Ideal: large, dense",18,tuned_level_slope,0.1
18,ideal_large_dense,"Ideal: large, dense",19,tuned_level,0.03
18,ideal_large_dense,"Ideal: large, dense",19,tuned_level_slope,0.1
19,ideal_large_dense,"Ideal: large, dense",20,tuned_level,0.03
19,ideal_large_dense,"Ideal: large, dense",20,tuned_level_slope,0.1
1000000,ideal_small_dense,"Ideal: small, dense",1,tuned_level,0.1
1000000,ideal_small_dense,"Ideal: small, dense",1,tuned_level_slope,0.1
1000001,ideal_small_dense,"Ideal: small, dense",2,tuned_level,0.03
1000001,ideal_small_dense,"Ideal: small, dense",2,tuned_level_slope,0.1
1000002,ideal_small_dense,"Ideal: small, dense",3,tuned_level,0.0
1000002,ideal_small_dense,"Ideal: small, dense",3,tuned_level_slope,0.1
1000003,ideal_small_dense,"Ideal: small, dense",4,tuned_level,0.03
1000003,ideal_small_dense,"Ideal: small, dense",4,tuned_level_slope,0.1
1000004,ideal_small_dense,"Ideal: small, dense",5,tuned_level,0.03
1000004,ideal_small_dense,"Ideal: small, dense",5,tuned_level_slope,0.1
1000005,ideal_small_dense,"Ideal: small, dense",6,tuned_level,0.0
1000005,ideal_small_dense,"Ideal: small, dense",6,tuned_level_slope,0.1
1000006,ideal_small_dense,"Ideal: small, dense",7,tuned_level,0.03
1000006,ideal_small_dense,"Ideal: small, dense",7,tuned_level_slope,0.1
1000007,ideal_small_dense,"Ideal: small, dense",8,tuned_level,0.03
1000007,ideal_small_dense,"Ideal: small, dense",8,tuned_level_slope,0.1
1000008,ideal_small_dense,"Ideal: small, dense",9,tuned_level,0.03
1000008,ideal_small_dense,"Ideal: small, dense",9,tuned_level_slope,0.1
1000009,ideal_small_dense,"Ideal: small, dense",10,tuned_level,0.03
1000009,ideal_small_dense,"Ideal: small, dense",10,tuned_level_slope,0.1
1000010,ideal_small_dense,"Ideal: small, dense",11,tuned_level,0.03
1000010,ideal_small_dense,"Ideal: small, dense",11,tuned_level_slope,0.1
1000011,ideal_small_dense,"Ideal: small, dense",12,tuned_level,0.0
1000011,ideal_small_dense,"Ideal: small, dense",12,tuned_level_slope,0.1
1000012,ideal_small_dense,"Ideal: small, dense",13,tuned_level,0.03
1000012,ideal_small_dense,"Ideal: small, dense",13,tuned_level_slope,0.1
1000013,ideal_small_dense,"Ideal: small, dense",14,tuned_level,0.03
1000013,ideal_small_dense,"Ideal: small, dense",14,tuned_level_slope,0.1
1000014,ideal_small_dense,"Ideal: small, dense",15,tuned_level,0.1
1000014,ideal_small_dense,"Ideal: small, dense",15,tuned_level_slope,0.1
1000015,ideal_small_dense,"Ideal: small, dense",16,tuned_level,0.03
1000015,ideal_small_dense,"Ideal: small, dense",16,tuned_level_slope,0.1
1000016,ideal_small_dense,"Ideal: small, dense",17,tuned_level,0.03
1000016,ideal_small_dense,"Ideal: small, dense",17,tuned_level_slope,0.1
1000017,ideal_small_dense,"Ideal: small, dense",18,tuned_level,0.03
1000017,ideal_small_dense,"Ideal: small, dense",18,tuned_level_slope,0.1
1000018,ideal_small_dense,"Ideal: small, dense",19,tuned_level,0.03
1000018,ideal_small_dense,"Ideal: small, dense",19,tuned_level_slope,0.1
1000019,ideal_small_dense,"Ideal: small, dense",20,tuned_level,0.0
1000019,ideal_small_dense,"Ideal: small, dense",20,tuned_level_slope,0.1
2000000,ideal_large_sparse,"Ideal: large, sparse",1,tuned_level,0.03
2000000,ideal_large_sparse,"Ideal: large, sparse",1,tuned_level_slope,0.1
2000001,ideal_large_sparse,"Ideal: large, sparse",2,tuned_level,0.03
