scenario_key,scenario_label,unpenalized_offset_correlation,tuned_offset_correlation,unpenalized_offset_rmse,tuned_offset_rmse,tuned_to_unpenalized_rmse_ratio
ideal_large_dense,Large dense,0.8795905066500913,0.8790055022727208,4.14419393639115,3.751727834431658,0.9052973610831399
ideal_small_dense,Small dense,0.8730820913307443,0.8668926772099692,4.129427177078192,3.770351351279543,0.9130446402368292
ideal_large_sparse,Large sparse,0.7833425495476122,0.6656630513198405,6.6537641760605615,4.665621940356868,0.7012003757426828
serial_dependence,Serial dependence,0.8211686788723034,0.7825518973734659,5.218683677076583,4.356086459541084,0.8347098098080719
discrete_map_rounding,Integer rounding,0.848650050835561,0.8353009686165445,4.573953730589419,4.102453213415219,0.8969162031480716
informative_monitoring,Informative monitoring,0.8186505103049556,0.6835766296882707,8.928143137923763,6.030650091541361,0.6754652113411106
cluster_size_informative,Cluster size association,0.8748359127149999,0.8334199700326684,5.36906881105844,4.895632408538685,0.9118215058922994
common_time_misspecified,Omitted common time,0.8480490439473019,0.7086885929051718,6.452666405062574,4.701154341223944,0.7285599543059526
level_plus_shape,Persistent level with shape,0.1424400597845333,0.1210614234052514,6.194026958505379,3.98805795727556,0.643855440732192
treatment_feedback,Treatment feedback,0.786451243477633,0.7555240604918763,4.202019446979808,3.4024168191691104,0.8097099173623744
transient_nonpersistent,Transient displacement,,,7.153040830067148,0.2017127115692996,0.028199575028485618
null_serial,Serial null,,,3.7832177980366137,0.2401395990091859,0.06347496016058388
weak_level,Weak persistent level,0.6567309391038647,0.6566527173191079,2.95212678599731,1.9885915740111264,0.673613200978875
heavy_tail_t3,Heavy tailed residual,0.6790944682742915,0.746881053277051,6.492798589727442,4.310570315885709,0.6639002051758794
