scenario_key,scenario_label,method,selected_penalty,selected_count,n_replicates,selected_proportion
ideal_large_dense,"Ideal: large, dense",tuned_level,0.0,11,200,0.055
ideal_large_dense,"Ideal: large, dense",tuned_level,0.03,175,200,0.875
ideal_large_dense,"Ideal: large, dense",tuned_level,0.1,14,200,0.07
ideal_small_dense,"Ideal: small, dense",tuned_level,0.0,36,200,0.18
ideal_small_dense,"Ideal: small, dense",tuned_level,0.03,129,200,0.645
ideal_small_dense,"Ideal: small, dense",tuned_level,0.1,35,200,0.175
ideal_large_sparse,"Ideal: large, sparse",tuned_level,0.03,153,200,0.765
ideal_large_sparse,"Ideal: large, sparse",tuned_level,0.1,47,200,0.235
serial_dependence,Serial dependence,tuned_level,0.0,3,200,0.015
serial_dependence,Serial dependence,tuned_level,0.03,90,200,0.45
serial_dependence,Serial dependence,tuned_level,0.1,106,200,0.53
serial_dependence,Serial dependence,tuned_level,0.3,1,200,0.005
discrete_map_rounding,Integer MAP rounding,tuned_level,0.0,14,200,0.07
discrete_map_rounding,Integer MAP rounding,tuned_level,0.03,150,200,0.75
discrete_map_rounding,Integer MAP rounding,tuned_level,0.1,36,200,0.18
informative_monitoring,Informative monitoring,tuned_level,0.0,6,200,0.03
informative_monitoring,Informative monitoring,tuned_level,0.03,194,200,0.97
cluster_size_informative,Cluster size--level association,tuned_level,0.0,53,200,0.265
cluster_size_informative,Cluster size--level association,tuned_level,0.03,147,200,0.735
common_time_misspecified,Misspecified common time,tuned_level,0.1,117,200,0.585
common_time_misspecified,Misspecified common time,tuned_level,0.3,83,200,0.415
level_plus_shape,Persistent level plus shape,tuned_level,0.1,1,200,0.005
level_plus_shape,Persistent level plus shape,tuned_level,0.3,24,200,0.12
level_plus_shape,Persistent level plus shape,tuned_level,1.0,87,200,0.435
level_plus_shape,Persistent level plus shape,tuned_level,3.0,39,200,0.195
level_plus_shape,Persistent level plus shape,tuned_level,10.0,49,200,0.245
treatment_feedback,Treatment feedback,tuned_level,0.03,101,200,0.505
treatment_feedback,Treatment feedback,tuned_level,0.1,97,200,0.485
treatment_feedback,Treatment feedback,tuned_level,0.3,2,200,0.01
transient_nonpersistent,Transient non-persistence,tuned_level,0.3,5,200,0.025
transient_nonpersistent,Transient non-persistence,tuned_level,1.0,6,200,0.03
transient_nonpersistent,Transient non-persistence,tuned_level,3.0,13,200,0.065
transient_nonpersistent,Transient non-persistence,tuned_level,10.0,176,200,0.88
null_serial,Pure null with serial dependence,tuned_level,0.3,5,200,0.025
null_serial,Pure null with serial dependence,tuned_level,1.0,53,200,0.265
null_serial,Pure null with serial dependence,tuned_level,3.0,39,200,0.195
null_serial,Pure null with serial dependence,tuned_level,10.0,103,200,0.515
weak_level,Weak persistent level,tuned_level,0.03,2,200,0.01
weak_level,Weak persistent level,tuned_level,0.1,62,200,0.31
weak_level,Weak persistent level,tuned_level,0.3,135,200,0.675
weak_level,Weak persistent level,tuned_level,1.0,1,200,0.005
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,0.0,1,200,0.005
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,0.03,112,200,0.56
heavy_tail_t3,Heavy-tailed t3 residual,tuned_level,0.1,87,200,0.435
