group_id,scenario_key,scenario_label,rep,method,selected_penalty
10000000,transient_nonpersistent,Transient non-persistence,1,tuned_level,300.0
10000000,transient_nonpersistent,Transient non-persistence,1,tuned_level_slope,300.0
10000001,transient_nonpersistent,Transient non-persistence,2,tuned_level,300.0
10000001,transient_nonpersistent,Transient non-persistence,2,tuned_level_slope,300.0
10000002,transient_nonpersistent,Transient non-persistence,3,tuned_level,300.0
10000002,transient_nonpersistent,Transient non-persistence,3,tuned_level_slope,300.0
10000003,transient_nonpersistent,Transient non-persistence,4,tuned_level,30.0
10000003,transient_nonpersistent,Transient non-persistence,4,tuned_level_slope,300.0
10000004,transient_nonpersistent,Transient non-persistence,5,tuned_level,300.0
10000004,transient_nonpersistent,Transient non-persistence,5,tuned_level_slope,300.0
10000005,transient_nonpersistent,Transient non-persistence,6,tuned_level,300.0
10000005,transient_nonpersistent,Transient non-persistence,6,tuned_level_slope,300.0
10000006,transient_nonpersistent,Transient non-persistence,7,tuned_level,300.0
10000006,transient_nonpersistent,Transient non-persistence,7,tuned_level_slope,300.0
10000007,transient_nonpersistent,Transient non-persistence,8,tuned_level,300.0
10000007,transient_nonpersistent,Transient non-persistence,8,tuned_level_slope,0.3
10000008,transient_nonpersistent,Transient non-persistence,9,tuned_level,300.0
10000008,transient_nonpersistent,Transient non-persistence,9,tuned_level_slope,300.0
10000009,transient_nonpersistent,Transient non-persistence,10,tuned_level,300.0
10000009,transient_nonpersistent,Transient non-persistence,10,tuned_level_slope,300.0
10000010,transient_nonpersistent,Transient non-persistence,11,tuned_level,300.0
10000010,transient_nonpersistent,Transient non-persistence,11,tuned_level_slope,300.0
10000011,transient_nonpersistent,Transient non-persistence,12,tuned_level,30.0
10000011,transient_nonpersistent,Transient non-persistence,12,tuned_level_slope,0.3
10000012,transient_nonpersistent,Transient non-persistence,13,tuned_level,300.0
10000012,transient_nonpersistent,Transient non-persistence,13,tuned_level_slope,300.0
10000013,transient_nonpersistent,Transient non-persistence,14,tuned_level,300.0
10000013,transient_nonpersistent,Transient non-persistence,14,tuned_level_slope,300.0
10000014,transient_nonpersistent,Transient non-persistence,15,tuned_level,0.3
